Total Nacional;Comunidades y Ciudades Autónomas;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;05 Canarias;TOTAL EDADES;TOTAL;Mujeres;2021;1.098.764
Total Nacional;05 Canarias;TOTAL EDADES;TOTAL;Mujeres;2020;1.099.767
Total Nacional;05 Canarias;TOTAL EDADES;TOTAL;Mujeres;2019;1.087.418
Total Nacional;05 Canarias;TOTAL EDADES;Españoles;Ambos sexos;2021;1.885.118
Total Nacional;05 Canarias;TOTAL EDADES;Españoles;Ambos sexos;2020;1.883.410
Total Nacional;05 Canarias;TOTAL EDADES;Españoles;Ambos sexos;2019;1.876.355
Total Nacional;05 Canarias;TOTAL EDADES;Españoles;Hombres;2021;931.933
Total Nacional;05 Canarias;TOTAL EDADES;Españoles;Hombres;2020;931.557
Total Nacional;05 Canarias;TOTAL EDADES;Españoles;Hombres;2019;928.620
Total Nacional;05 Canarias;TOTAL EDADES;Españoles;Mujeres;2021;953.185
Total Nacional;05 Canarias;TOTAL EDADES;Españoles;Mujeres;2020;951.853
Total Nacional;05 Canarias;TOTAL EDADES;Españoles;Mujeres;2019;947.735
Total Nacional;05 Canarias;TOTAL EDADES;Extranjeros;Ambos sexos;2021;287.826
Total Nacional;05 Canarias;TOTAL EDADES;Extranjeros;Ambos sexos;2020;292.542
Total Nacional;05 Canarias;TOTAL EDADES;Extranjeros;Ambos sexos;2019;277.034
Total Nacional;05 Canarias;TOTAL EDADES;Extranjeros;Hombres;2021;142.247
Total Nacional;05 Canarias;TOTAL EDADES;Extranjeros;Hombres;2020;144.628
Total Nacional;05 Canarias;TOTAL EDADES;Extranjeros;Hombres;2019;137.351
Total Nacional;05 Canarias;TOTAL EDADES;Extranjeros;Mujeres;2021;145.579
Total Nacional;05 Canarias;TOTAL EDADES;Extranjeros;Mujeres;2020;147.914
Total Nacional;05 Canarias;TOTAL EDADES;Extranjeros;Mujeres;2019;139.683
Total Nacional;05 Canarias;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;13,25
Total Nacional;05 Canarias;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;13,44
Total Nacional;05 Canarias;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;12,87
Total Nacional;05 Canarias;TOTAL EDADES;% Extranjeros;Hombres;2021;13,24
Total Nacional;05 Canarias;TOTAL EDADES;% Extranjeros;Hombres;2020;13,44
Total Nacional;05 Canarias;TOTAL EDADES;% Extranjeros;Hombres;2019;12,89
Total Nacional;05 Canarias;TOTAL EDADES;% Extranjeros;Mujeres;2021;13,25
Total Nacional;05 Canarias;TOTAL EDADES;% Extranjeros;Mujeres;2020;13,45
Total Nacional;05 Canarias;TOTAL EDADES;% Extranjeros;Mujeres;2019;12,85
Total Nacional;05 Canarias;0-15 años;TOTAL;Ambos sexos;2021;295.212
Total Nacional;05 Canarias;0-15 años;TOTAL;Ambos sexos;2020;304.919
Total Nacional;05 Canarias;0-15 años;TOTAL;Ambos sexos;2019;309.273
Total Nacional;05 Canarias;0-15 años;TOTAL;Hombres;2021;151.509
Total Nacional;05 Canarias;0-15 años;TOTAL;Hombres;2020;156.348
Total Nacional;05 Canarias;0-15 años;TOTAL;Hombres;2019;158.714
Total Nacional;05 Canarias;0-15 años;TOTAL;Mujeres;2021;143.703
Total Nacional;05 Canarias;0-15 años;TOTAL;Mujeres;2020;148.571
Total Nacional;05 Canarias;0-15 años;TOTAL;Mujeres;2019;150.559
Total Nacional;05 Canarias;0-15 años;Españoles;Ambos sexos;2021;262.839
Total Nacional;05 Canarias;0-15 años;Españoles;Ambos sexos;2020;271.336
Total Nacional;05 Canarias;0-15 años;Españoles;Ambos sexos;2019;277.067
Total Nacional;05 Canarias;0-15 años;Españoles;Hombres;2021;134.866
Total Nacional;05 Canarias;0-15 años;Españoles;Hombres;2020;139.130
Total Nacional;05 Canarias;0-15 años;Españoles;Hombres;2019;142.090
Total Nacional;05 Canarias;0-15 años;Españoles;Mujeres;2021;127.973
Total Nacional;05 Canarias;0-15 años;Españoles;Mujeres;2020;132.206
Total Nacional;05 Canarias;0-15 años;Españoles;Mujeres;2019;134.977
Total Nacional;05 Canarias;0-15 años;Extranjeros;Ambos sexos;2021;32.373
Total Nacional;05 Canarias;0-15 años;Extranjeros;Ambos sexos;2020;33.583
Total Nacional;05 Canarias;0-15 años;Extranjeros;Ambos sexos;2019;32.206
Total Nacional;05 Canarias;0-15 años;Extranjeros;Hombres;2021;16.643
Total Nacional;05 Canarias;0-15 años;Extranjeros;Hombres;2020;17.218
Total Nacional;05 Canarias;0-15 años;Extranjeros;Hombres;2019;16.624
Total Nacional;05 Canarias;0-15 años;Extranjeros;Mujeres;2021;15.730
Total Nacional;05 Canarias;0-15 años;Extranjeros;Mujeres;2020;16.365
Total Nacional;05 Canarias;0-15 años;Extranjeros;Mujeres;2019;15.582
Total Nacional;05 Canarias;0-15 años;% Extranjeros;Ambos sexos;2021;10,97
Total Nacional;05 Canarias;0-15 años;% Extranjeros;Ambos sexos;2020;11,01
Total Nacional;05 Canarias;0-15 años;% Extranjeros;Ambos sexos;2019;10,41
Total Nacional;05 Canarias;0-15 años;% Extranjeros;Hombres;2021;10,98
Total Nacional;05 Canarias;0-15 años;% Extranjeros;Hombres;2020;11,01
Total Nacional;05 Canarias;0-15 años;% Extranjeros;Hombres;2019;10,47
Total Nacional;05 Canarias;0-15 años;% Extranjeros;Mujeres;2021;10,95
Total Nacional;05 Canarias;0-15 años;% Extranjeros;Mujeres;2020;11,01
Total Nacional;05 Canarias;0-15 años;% Extranjeros;Mujeres;2019;10,35
Total Nacional;05 Canarias;16-64 años;TOTAL;Ambos sexos;2021;1.516.473
Total Nacional;05 Canarias;16-64 años;TOTAL;Ambos sexos;2020;1.519.911
Total Nacional;05 Canarias;16-64 años;TOTAL;Ambos sexos;2019;1.503.437
Total Nacional;05 Canarias;16-64 años;TOTAL;Hombres;2021;760.989
Total Nacional;05 Canarias;16-64 años;TOTAL;Hombres;2020;763.030
Total Nacional;05 Canarias;16-64 años;TOTAL;Hombres;2019;755.126
Total Nacional;05 Canarias;16-64 años;TOTAL;Mujeres;2021;755.484
Total Nacional;05 Canarias;16-64 años;TOTAL;Mujeres;2020;756.881
Total Nacional;05 Canarias;16-64 años;TOTAL;Mujeres;2019;748.311
Total Nacional;05 Canarias;16-64 años;Españoles;Ambos sexos;2021;1.297.763
Total Nacional;05 Canarias;16-64 años;Españoles;Ambos sexos;2020;1.296.371
Total Nacional;05 Canarias;16-64 años;Españoles;Ambos sexos;2019;1.292.244
Total Nacional;05 Canarias;16-64 años;Españoles;Hombres;2021;653.424
Total Nacional;05 Canarias;16-64 años;Españoles;Hombres;2020;653.021
Total Nacional;05 Canarias;16-64 años;Españoles;Hombres;2019;651.088
Total Nacional;05 Canarias;16-64 años;Españoles;Mujeres;2021;644.339
Total Nacional;05 Canarias;16-64 años;Españoles;Mujeres;2020;643.350
Total Nacional;05 Canarias;16-64 años;Españoles;Mujeres;2019;641.156
Total Nacional;05 Canarias;16-64 años;Extranjeros;Ambos sexos;2021;218.710
Total Nacional;05 Canarias;16-64 años;Extranjeros;Ambos sexos;2020;223.540
Total Nacional;05 Canarias;16-64 años;Extranjeros;Ambos sexos;2019;211.193
Total Nacional;05 Canarias;16-64 años;Extranjeros;Hombres;2021;107.565
Total Nacional;05 Canarias;16-64 años;Extranjeros;Hombres;2020;110.009
Total Nacional;05 Canarias;16-64 años;Extranjeros;Hombres;2019;104.038
Total Nacional;05 Canarias;16-64 años;Extranjeros;Mujeres;2021;111.145
Total Nacional;05 Canarias;16-64 años;Extranjeros;Mujeres;2020;113.531
Total Nacional;05 Canarias;16-64 años;Extranjeros;Mujeres;2019;107.155
Total Nacional;05 Canarias;16-64 años;% Extranjeros;Ambos sexos;2021;14,42
Total Nacional;05 Canarias;16-64 años;% Extranjeros;Ambos sexos;2020;14,71
Total Nacional;05 Canarias;16-64 años;% Extranjeros;Ambos sexos;2019;14,05
Total Nacional;05 Canarias;16-64 años;% Extranjeros;Hombres;2021;14,13
Total Nacional;05 Canarias;16-64 años;% Extranjeros;Hombres;2020;14,42
Total Nacional;05 Canarias;16-64 años;% Extranjeros;Hombres;2019;13,78
Total Nacional;05 Canarias;16-64 años;% Extranjeros;Mujeres;2021;14,71
Total Nacional;05 Canarias;16-64 años;% Extranjeros;Mujeres;2020;15,00
Total Nacional;05 Canarias;16-64 años;% Extranjeros;Mujeres;2019;14,32
Total Nacional;05 Canarias;65 y más;TOTAL;Ambos sexos;2021;361.259
Total Nacional;05 Canarias;65 y más;TOTAL;Ambos sexos;2020;351.122
Total Nacional;05 Canarias;65 y más;TOTAL;Ambos sexos;2019;340.679
Total Nacional;05 Canarias;65 y más;TOTAL;Hombres;2021;161.682
Total Nacional;05 Canarias;65 y más;TOTAL;Hombres;2020;156.807
Total Nacional;05 Canarias;65 y más;TOTAL;Hombres;2019;152.131
Total Nacional;05 Canarias;65 y más;TOTAL;Mujeres;2021;199.577
Total Nacional;05 Canarias;65 y más;TOTAL;Mujeres;2020;194.315
Total Nacional;05 Canarias;65 y más;TOTAL;Mujeres;2019;188.548
Total Nacional;05 Canarias;65 y más;Españoles;Ambos sexos;2021;324.516
Total Nacional;05 Canarias;65 y más;Españoles;Ambos sexos;2020;315.703
Total Nacional;05 Canarias;65 y más;Españoles;Ambos sexos;2019;307.044
Total Nacional;05 Canarias;65 y más;Españoles;Hombres;2021;143.643
Total Nacional;05 Canarias;65 y más;Españoles;Hombres;2020;139.406
Total Nacional;05 Canarias;65 y más;Españoles;Hombres;2019;135.442
Total Nacional;05 Canarias;65 y más;Españoles;Mujeres;2021;180.873
Total Nacional;05 Canarias;65 y más;Españoles;Mujeres;2020;176.297
Total Nacional;05 Canarias;65 y más;Españoles;Mujeres;2019;171.602
Total Nacional;05 Canarias;65 y más;Extranjeros;Ambos sexos;2021;36.743
Total Nacional;05 Canarias;65 y más;Extranjeros;Ambos sexos;2020;35.419
Total Nacional;05 Canarias;65 y más;Extranjeros;Ambos sexos;2019;33.635
Total Nacional;05 Canarias;65 y más;Extranjeros;Hombres;2021;18.039
Total Nacional;05 Canarias;65 y más;Extranjeros;Hombres;2020;17.401
Total Nacional;05 Canarias;65 y más;Extranjeros;Hombres;2019;16.689
Total Nacional;05 Canarias;65 y más;Extranjeros;Mujeres;2021;18.704
Total Nacional;05 Canarias;65 y más;Extranjeros;Mujeres;2020;18.018
Total Nacional;05 Canarias;65 y más;Extranjeros;Mujeres;2019;16.946
Total Nacional;05 Canarias;65 y más;% Extranjeros;Ambos sexos;2021;10,17
Total Nacional;05 Canarias;65 y más;% Extranjeros;Ambos sexos;2020;10,09
Total Nacional;05 Canarias;65 y más;% Extranjeros;Ambos sexos;2019;9,87
Total Nacional;05 Canarias;65 y más;% Extranjeros;Hombres;2021;11,16
Total Nacional;05 Canarias;65 y más;% Extranjeros;Hombres;2020;11,10
Total Nacional;05 Canarias;65 y más;% Extranjeros;Hombres;2019;10,97
Total Nacional;05 Canarias;65 y más;% Extranjeros;Mujeres;2021;9,37
Total Nacional;05 Canarias;65 y más;% Extranjeros;Mujeres;2020;9,27
Total Nacional;05 Canarias;65 y más;% Extranjeros;Mujeres;2019;8,99
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2021;584.507
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2020;582.905
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2019;581.078
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Hombres;2021;283.378
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Hombres;2020;282.559
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Hombres;2019;281.801
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2021;301.129
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2020;300.346
Total Nacional;06 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2019;299.277
Total Nacional;06 Cantabria;TOTAL EDADES;Españoles;Ambos sexos;2021;548.340
Total Nacional;06 Cantabria;TOTAL EDADES;Españoles;Ambos sexos;2020;547.009
Total Nacional;06 Cantabria;TOTAL EDADES;Españoles;Ambos sexos;2019;548.295
Total Nacional;06 Cantabria;TOTAL EDADES;Españoles;Hombres;2021;266.157
Total Nacional;06 Cantabria;TOTAL EDADES;Españoles;Hombres;2020;265.457
Total Nacional;06 Cantabria;TOTAL EDADES;Españoles;Hombres;2019;266.090
Total Nacional;06 Cantabria;TOTAL EDADES;Españoles;Mujeres;2021;282.183
Total Nacional;06 Cantabria;TOTAL EDADES;Españoles;Mujeres;2020;281.552
Total Nacional;06 Cantabria;TOTAL EDADES;Españoles;Mujeres;2019;282.205
Total Nacional;06 Cantabria;TOTAL EDADES;Extranjeros;Ambos sexos;2021;36.167
Total Nacional;06 Cantabria;TOTAL EDADES;Extranjeros;Ambos sexos;2020;35.896
Total Nacional;06 Cantabria;TOTAL EDADES;Extranjeros;Ambos sexos;2019;32.783
Total Nacional;06 Cantabria;TOTAL EDADES;Extranjeros;Hombres;2021;17.221
Total Nacional;06 Cantabria;TOTAL EDADES;Extranjeros;Hombres;2020;17.102
Total Nacional;06 Cantabria;TOTAL EDADES;Extranjeros;Hombres;2019;15.711
Total Nacional;06 Cantabria;TOTAL EDADES;Extranjeros;Mujeres;2021;18.946
Total Nacional;06 Cantabria;TOTAL EDADES;Extranjeros;Mujeres;2020;18.794
Total Nacional;06 Cantabria;TOTAL EDADES;Extranjeros;Mujeres;2019;17.072
Total Nacional;06 Cantabria;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;6,19
Total Nacional;06 Cantabria;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;6,16
Total Nacional;06 Cantabria;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;5,64
Total Nacional;06 Cantabria;TOTAL EDADES;% Extranjeros;Hombres;2021;6,08
Total Nacional;06 Cantabria;TOTAL EDADES;% Extranjeros;Hombres;2020;6,05
Total Nacional;06 Cantabria;TOTAL EDADES;% Extranjeros;Hombres;2019;5,58
Total Nacional;06 Cantabria;TOTAL EDADES;% Extranjeros;Mujeres;2021;6,29
Total Nacional;06 Cantabria;TOTAL EDADES;% Extranjeros;Mujeres;2020;6,26
Total Nacional;06 Cantabria;TOTAL EDADES;% Extranjeros;Mujeres;2019;5,70
Total Nacional;06 Cantabria;0-15 años;TOTAL;Ambos sexos;2021;79.966
Total Nacional;06 Cantabria;0-15 años;TOTAL;Ambos sexos;2020;81.521
Total Nacional;06 Cantabria;0-15 años;TOTAL;Ambos sexos;2019;82.550
Total Nacional;06 Cantabria;0-15 años;TOTAL;Hombres;2021;40.972
Total Nacional;06 Cantabria;0-15 años;TOTAL;Hombres;2020;41.699
Total Nacional;06 Cantabria;0-15 años;TOTAL;Hombres;2019;42.223
Total Nacional;06 Cantabria;0-15 años;TOTAL;Mujeres;2021;38.994
Total Nacional;06 Cantabria;0-15 años;TOTAL;Mujeres;2020;39.822
Total Nacional;06 Cantabria;0-15 años;TOTAL;Mujeres;2019;40.327
Total Nacional;06 Cantabria;0-15 años;Españoles;Ambos sexos;2021;74.849
Total Nacional;06 Cantabria;0-15 años;Españoles;Ambos sexos;2020;76.367
Total Nacional;06 Cantabria;0-15 años;Españoles;Ambos sexos;2019;77.828
Total Nacional;06 Cantabria;0-15 años;Españoles;Hombres;2021;38.393
Total Nacional;06 Cantabria;0-15 años;Españoles;Hombres;2020;39.084
Total Nacional;06 Cantabria;0-15 años;Españoles;Hombres;2019;39.805
Total Nacional;06 Cantabria;0-15 años;Españoles;Mujeres;2021;36.456
Total Nacional;06 Cantabria;0-15 años;Españoles;Mujeres;2020;37.283
Total Nacional;06 Cantabria;0-15 años;Españoles;Mujeres;2019;38.023
Total Nacional;06 Cantabria;0-15 años;Extranjeros;Ambos sexos;2021;5.117
Total Nacional;06 Cantabria;0-15 años;Extranjeros;Ambos sexos;2020;5.154
Total Nacional;06 Cantabria;0-15 años;Extranjeros;Ambos sexos;2019;4.722
Total Nacional;06 Cantabria;0-15 años;Extranjeros;Hombres;2021;2.579
Total Nacional;06 Cantabria;0-15 años;Extranjeros;Hombres;2020;2.615
Total Nacional;06 Cantabria;0-15 años;Extranjeros;Hombres;2019;2.418
Total Nacional;06 Cantabria;0-15 años;Extranjeros;Mujeres;2021;2.538
Total Nacional;06 Cantabria;0-15 años;Extranjeros;Mujeres;2020;2.539
Total Nacional;06 Cantabria;0-15 años;Extranjeros;Mujeres;2019;2.304
Total Nacional;06 Cantabria;0-15 años;% Extranjeros;Ambos sexos;2021;6,40
Total Nacional;06 Cantabria;0-15 años;% Extranjeros;Ambos sexos;2020;6,32
Total Nacional;06 Cantabria;0-15 años;% Extranjeros;Ambos sexos;2019;5,72
Total Nacional;06 Cantabria;0-15 años;% Extranjeros;Hombres;2021;6,29
Total Nacional;06 Cantabria;0-15 años;% Extranjeros;Hombres;2020;6,27
Total Nacional;06 Cantabria;0-15 años;% Extranjeros;Hombres;2019;5,73
Total Nacional;06 Cantabria;0-15 años;% Extranjeros;Mujeres;2021;6,51
Total Nacional;06 Cantabria;0-15 años;% Extranjeros;Mujeres;2020;6,38
Total Nacional;06 Cantabria;0-15 años;% Extranjeros;Mujeres;2019;5,71
Total Nacional;06 Cantabria;16-64 años;TOTAL;Ambos sexos;2021;372.525
Total Nacional;06 Cantabria;16-64 años;TOTAL;Ambos sexos;2020;371.959
Total Nacional;06 Cantabria;16-64 años;TOTAL;Ambos sexos;2019;371.628
Total Nacional;06 Cantabria;16-64 años;TOTAL;Hombres;2021;185.867
Total Nacional;06 Cantabria;16-64 años;TOTAL;Hombres;2020;185.701
Total Nacional;06 Cantabria;16-64 años;TOTAL;Hombres;2019;185.546
Total Nacional;06 Cantabria;16-64 años;TOTAL;Mujeres;2021;186.658
Total Nacional;06 Cantabria;16-64 años;TOTAL;Mujeres;2020;186.258
Total Nacional;06 Cantabria;16-64 años;TOTAL;Mujeres;2019;186.082
Total Nacional;06 Cantabria;16-64 años;Españoles;Ambos sexos;2021;343.306
Total Nacional;06 Cantabria;16-64 años;Españoles;Ambos sexos;2020;342.917
Total Nacional;06 Cantabria;16-64 años;Españoles;Ambos sexos;2019;345.037
Total Nacional;06 Cantabria;16-64 años;Españoles;Hombres;2021;171.958
Total Nacional;06 Cantabria;16-64 años;Españoles;Hombres;2020;171.882
Total Nacional;06 Cantabria;16-64 años;Españoles;Hombres;2019;172.824
Total Nacional;06 Cantabria;16-64 años;Españoles;Mujeres;2021;171.348
Total Nacional;06 Cantabria;16-64 años;Españoles;Mujeres;2020;171.035
Total Nacional;06 Cantabria;16-64 años;Españoles;Mujeres;2019;172.213
Total Nacional;06 Cantabria;16-64 años;Extranjeros;Ambos sexos;2021;29.219
Total Nacional;06 Cantabria;16-64 años;Extranjeros;Ambos sexos;2020;29.042
Total Nacional;06 Cantabria;16-64 años;Extranjeros;Ambos sexos;2019;26.591
Total Nacional;06 Cantabria;16-64 años;Extranjeros;Hombres;2021;13.909
Total Nacional;06 Cantabria;16-64 años;Extranjeros;Hombres;2020;13.819
Total Nacional;06 Cantabria;16-64 años;Extranjeros;Hombres;2019;12.722
Total Nacional;06 Cantabria;16-64 años;Extranjeros;Mujeres;2021;15.310
Total Nacional;06 Cantabria;16-64 años;Extranjeros;Mujeres;2020;15.223
Total Nacional;06 Cantabria;16-64 años;Extranjeros;Mujeres;2019;13.869
Total Nacional;06 Cantabria;16-64 años;% Extranjeros;Ambos sexos;2021;7,84
Total Nacional;06 Cantabria;16-64 años;% Extranjeros;Ambos sexos;2020;7,81
Total Nacional;06 Cantabria;16-64 años;% Extranjeros;Ambos sexos;2019;7,16
Total Nacional;06 Cantabria;16-64 años;% Extranjeros;Hombres;2021;7,48
Total Nacional;06 Cantabria;16-64 años;% Extranjeros;Hombres;2020;7,44
Total Nacional;06 Cantabria;16-64 años;% Extranjeros;Hombres;2019;6,86
Total Nacional;06 Cantabria;16-64 años;% Extranjeros;Mujeres;2021;8,20
Total Nacional;06 Cantabria;16-64 años;% Extranjeros;Mujeres;2020;8,17
Total Nacional;06 Cantabria;16-64 años;% Extranjeros;Mujeres;2019;7,45
Total Nacional;06 Cantabria;65 y más;TOTAL;Ambos sexos;2021;132.016
Total Nacional;06 Cantabria;65 y más;TOTAL;Ambos sexos;2020;129.425
Total Nacional;06 Cantabria;65 y más;TOTAL;Ambos sexos;2019;126.900
Total Nacional;06 Cantabria;65 y más;TOTAL;Hombres;2021;56.539
Total Nacional;06 Cantabria;65 y más;TOTAL;Hombres;2020;55.159
Total Nacional;06 Cantabria;65 y más;TOTAL;Hombres;2019;54.032
Total Nacional;06 Cantabria;65 y más;TOTAL;Mujeres;2021;75.477
Total Nacional;06 Cantabria;65 y más;TOTAL;Mujeres;2020;74.266
Total Nacional;06 Cantabria;65 y más;TOTAL;Mujeres;2019;72.868
Total Nacional;06 Cantabria;65 y más;Españoles;Ambos sexos;2021;130.185
Total Nacional;06 Cantabria;65 y más;Españoles;Ambos sexos;2020;127.725
Total Nacional;06 Cantabria;65 y más;Españoles;Ambos sexos;2019;125.430
Total Nacional;06 Cantabria;65 y más;Españoles;Hombres;2021;55.806
Total Nacional;06 Cantabria;65 y más;Españoles;Hombres;2020;54.491
Total Nacional;06 Cantabria;65 y más;Españoles;Hombres;2019;53.461
Total Nacional;06 Cantabria;65 y más;Españoles;Mujeres;2021;74.379
Total Nacional;06 Cantabria;65 y más;Españoles;Mujeres;2020;73.234
Total Nacional;06 Cantabria;65 y más;Españoles;Mujeres;2019;71.969
Total Nacional;06 Cantabria;65 y más;Extranjeros;Ambos sexos;2021;1.831
Total Nacional;06 Cantabria;65 y más;Extranjeros;Ambos sexos;2020;1.700
Total Nacional;06 Cantabria;65 y más;Extranjeros;Ambos sexos;2019;1.470
Total Nacional;06 Cantabria;65 y más;Extranjeros;Hombres;2021;733
Total Nacional;06 Cantabria;65 y más;Extranjeros;Hombres;2020;668
Total Nacional;06 Cantabria;65 y más;Extranjeros;Hombres;2019;571
Total Nacional;06 Cantabria;65 y más;Extranjeros;Mujeres;2021;1.098
Total Nacional;06 Cantabria;65 y más;Extranjeros;Mujeres;2020;1.032
Total Nacional;06 Cantabria;65 y más;Extranjeros;Mujeres;2019;899
Total Nacional;06 Cantabria;65 y más;% Extranjeros;Ambos sexos;2021;1,39
Total Nacional;06 Cantabria;65 y más;% Extranjeros;Ambos sexos;2020;1,31
Total Nacional;06 Cantabria;65 y más;% Extranjeros;Ambos sexos;2019;1,16
Total Nacional;06 Cantabria;65 y más;% Extranjeros;Hombres;2021;1,30
Total Nacional;06 Cantabria;65 y más;% Extranjeros;Hombres;2020;1,21
Total Nacional;06 Cantabria;65 y más;% Extranjeros;Hombres;2019;1,06
Total Nacional;06 Cantabria;65 y más;% Extranjeros;Mujeres;2021;1,45
Total Nacional;06 Cantabria;65 y más;% Extranjeros;Mujeres;2020;1,39
Total Nacional;06 Cantabria;65 y más;% Extranjeros;Mujeres;2019;1,23
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Ambos sexos;2021;2.383.139
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Ambos sexos;2020;2.394.918
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Ambos sexos;2019;2.399.548
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Hombres;2021;1.173.114
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Hombres;2020;1.178.846
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Hombres;2019;1.181.401
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Mujeres;2021;1.210.025
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Mujeres;2020;1.216.072
Total Nacional;07 Castilla y León;TOTAL EDADES;TOTAL;Mujeres;2019;1.218.147
Total Nacional;07 Castilla y León;TOTAL EDADES;Españoles;Ambos sexos;2021;2.239.029
Total Nacional;07 Castilla y León;TOTAL EDADES;Españoles;Ambos sexos;2020;2.253.761
Total Nacional;07 Castilla y León;TOTAL EDADES;Españoles;Ambos sexos;2019;2.269.754
Total Nacional;07 Castilla y León;TOTAL EDADES;Españoles;Hombres;2021;1.102.681
Total Nacional;07 Castilla y León;TOTAL EDADES;Españoles;Hombres;2020;1.109.825
Total Nacional;07 Castilla y León;TOTAL EDADES;Españoles;Hombres;2019;1.117.869
Total Nacional;07 Castilla y León;TOTAL EDADES;Españoles;Mujeres;2021;1.136.348
Total Nacional;07 Castilla y León;TOTAL EDADES;Españoles;Mujeres;2020;1.143.936
Total Nacional;07 Castilla y León;TOTAL EDADES;Españoles;Mujeres;2019;1.151.885
Total Nacional;07 Castilla y León;TOTAL EDADES;Extranjeros;Ambos sexos;2021;144.110
Total Nacional;07 Castilla y León;TOTAL EDADES;Extranjeros;Ambos sexos;2020;141.157
Total Nacional;07 Castilla y León;TOTAL EDADES;Extranjeros;Ambos sexos;2019;129.794
Total Nacional;07 Castilla y León;TOTAL EDADES;Extranjeros;Hombres;2021;70.433
Total Nacional;07 Castilla y León;TOTAL EDADES;Extranjeros;Hombres;2020;69.021
Total Nacional;07 Castilla y León;TOTAL EDADES;Extranjeros;Hombres;2019;63.532
Total Nacional;07 Castilla y León;TOTAL EDADES;Extranjeros;Mujeres;2021;73.677
Total Nacional;07 Castilla y León;TOTAL EDADES;Extranjeros;Mujeres;2020;72.136
Total Nacional;07 Castilla y León;TOTAL EDADES;Extranjeros;Mujeres;2019;66.262
Total Nacional;07 Castilla y León;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;6,05
Total Nacional;07 Castilla y León;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;5,89
Total Nacional;07 Castilla y León;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;5,41
Total Nacional;07 Castilla y León;TOTAL EDADES;% Extranjeros;Hombres;2021;6,00
Total Nacional;07 Castilla y León;TOTAL EDADES;% Extranjeros;Hombres;2020;5,85
Total Nacional;07 Castilla y León;TOTAL EDADES;% Extranjeros;Hombres;2019;5,38
Total Nacional;07 Castilla y León;TOTAL EDADES;% Extranjeros;Mujeres;2021;6,09
Total Nacional;07 Castilla y León;TOTAL EDADES;% Extranjeros;Mujeres;2020;5,93
Total Nacional;07 Castilla y León;TOTAL EDADES;% Extranjeros;Mujeres;2019;5,44
Total Nacional;07 Castilla y León;0-15 años;TOTAL;Ambos sexos;2021;297.020
Total Nacional;07 Castilla y León;0-15 años;TOTAL;Ambos sexos;2020;302.045
Total Nacional;07 Castilla y León;0-15 años;TOTAL;Ambos sexos;2019;305.152
Total Nacional;07 Castilla y León;0-15 años;TOTAL;Hombres;2021;152.744
Total Nacional;07 Castilla y León;0-15 años;TOTAL;Hombres;2020;155.286
Total Nacional;07 Castilla y León;0-15 años;TOTAL;Hombres;2019;156.754
Total Nacional;07 Castilla y León;0-15 años;TOTAL;Mujeres;2021;144.276
Total Nacional;07 Castilla y León;0-15 años;TOTAL;Mujeres;2020;146.759
Total Nacional;07 Castilla y León;0-15 años;TOTAL;Mujeres;2019;148.398
Total Nacional;07 Castilla y León;0-15 años;Españoles;Ambos sexos;2021;273.361
Total Nacional;07 Castilla y León;0-15 años;Españoles;Ambos sexos;2020;278.562
Total Nacional;07 Castilla y León;0-15 años;Españoles;Ambos sexos;2019;283.441
Total Nacional;07 Castilla y León;0-15 años;Españoles;Hombres;2021;140.642
Total Nacional;07 Castilla y León;0-15 años;Españoles;Hombres;2020;143.244
Total Nacional;07 Castilla y León;0-15 años;Españoles;Hombres;2019;145.623
Total Nacional;07 Castilla y León;0-15 años;Españoles;Mujeres;2021;132.719
